,Longitude,Latitude,Crime type
,-2.50993,51.410873,ABSO
,-2.515072,51.419357,Burglary
,-2.49793,51.417966,ABSO
,-2.510427,51.423181,ABSO
,-2.49793,51.417966,ABSO
,-2.49793,51.417966,ABSO
,-2.49793,51.417966,ABSO
,-2.49793,51.417966,ABSO
,-2.49991,51.413623,ABSO
,-2.49793,51.417966,ABSO
,-2.501425,51.416692,Bike theft
,-2.504309,51.418801,Burglary
,-2.510427,51.423181,Arson
,-2.504309,51.418801,Other theft
,-2.498613,51.416002,Public order
,-2.501425,51.416692,Shoplifting
,-2.501425,51.416692,Shoplifting
,-2.504068,51.417804,Sex Offence
,-2.499922,51.417373,Sex Offence
,-2.506292,51.413389,Sex Offence
,-2.506292,51.413389,Sex Offence
,-2.506762,51.409116,ABSO
,-2.509174,51.412684,ABSO
,-2.506835,51.410554,ABSO
,-2.506835,51.410554,ABSO
,-2.506903,51.415355,ABSO
,-2.509174,51.412684,ABSO
,-2.506762,51.409116,ABSO
,-2.506762,51.409116,ABSO
,-2.508143,51.413066,Burglary
,-2.506835,51.410554,Drugs
,-2.508304,51.414594,Sex Offence
,-2.506762,51.409116,Sex Offence
,-2.506762,51.409116,Sex Offence
,-2.514953,51.404872,ABSO
,-2.515883,51.405803,ABSO
,-2.511724,51.409229,ABSO
,-2.509153,51.408215,ABSO
,-2.515883,51.405803,Arson
,-2.498044,51.412651,ABSO
,-2.497371,51.412906,ABSO
,-2.498866,51.411497,ABSO
,-2.496678,51.413943,ABSO
,-2.497371,51.412906,ABSO
,-2.496678,51.413943,ABSO
,-2.497371,51.412906,ABSO
,-2.498044,51.412651,ABSO
,-2.499963,51.413236,Burglary
,-2.496678,51.413943,Arson
,-2.498127,51.41364,Arson
,-2.498086,51.413838,Shoplifting
,-2.499382,51.40868,Vehicle crime
,-2.498086,51.413838,Sex Offence
,-2.498086,51.413838,Sex Offence
,-2.50831,51.40741,ABSO
,-2.503825,51.407447,ABSO
,-2.50692,51.407757,ABSO
,-2.503825,51.407447,ABSO
,-2.50692,51.407757,Arson
,-2.50655,51.406842,Other theft
,-2.502845,51.409879,Sex Offence
,-2.488092,51.412477,ABSO
,-2.487233,51.414144,ABSO
,-2.487233,51.414144,ABSO
,-2.487233,51.414144,ABSO
,-2.489255,51.410917,ABSO
,-2.488389,51.409275,ABSO
,-2.491971,51.412101,Other theft
,-2.489598,51.409396,Other theft
,-2.491971,51.412101,Shoplifting
,-2.491971,51.412101,Shoplifting
,-2.491971,51.412101,Shoplifting
,-2.491971,51.412101,Shoplifting
,-2.491971,51.412101,Sex Offence
,-2.489013,51.408499,ABSO
,-2.489013,51.408499,Sex Offence
,-2.494272,51.409511,Sex Offence
,-2.489013,51.408499,Sex Offence
,-2.48419,51.406496,ABSO
,-2.474568,51.410258,ABSO
,-2.48557,51.406445,ABSO
,-2.483911,51.405966,ABSO
,-2.48419,51.406496,ABSO
,-2.483019,51.412705,Burglary
,-2.48787,51.40782,Arson
,-2.483019,51.412705,Other theft
,-2.474568,51.410258,Other theft
,-2.345114,51.401467,ABSO
,-2.35518,51.400025,ABSO
,-2.345171,51.399543,ABSO
,-2.345114,51.401467,ABSO
,-2.34664,51.397983,Burglary
,-2.345114,51.401467,Arson
,-2.345171,51.399543,Other theft
,-2.34664,51.397983,Other theft
,-2.345019,51.400362,Public order
,-2.345019,51.400362,Public order
,-2.350626,51.400417,Sex Offence
,-2.351833,51.398435,ABSO
,-2.349608,51.397057,Bike theft
,-2.351324,51.399641,Other theft
,-2.356941,51.397269,Sex Offence
,-2.342785,51.399595,ABSO
,-2.33901,51.402222,ABSO
,-2.346972,51.394304,ABSO
,-2.343374,51.395637,Burglary
,-2.343036,51.396546,Arson
,-2.342785,51.399595,Arson
,-2.344578,51.397135,Arson
,-2.325755,51.402053,Arson
,-2.346972,51.394304,Arson
,-2.345482,51.396871,Other theft
,-2.345482,51.396871,Other theft
,-2.342785,51.399595,Vehicle crime
,-2.344827,51.395848,Vehicle crime
,-2.342785,51.399595,Vehicle crime
,-2.342785,51.399595,Sex Offence
,-2.399721,51.402606,ABSO
,-2.394758,51.402228,Sex Offence
,-2.396754,51.39866,Sex Offence
,-2.393699,51.401107,ABSO
,-2.393699,51.401107,ABSO
,-2.388721,51.398885,Arson
,-2.388721,51.398885,Sex Offence
,-2.38747,51.395454,Arson
,-2.377003,51.38986,Arson
,-2.381209,51.392678,Vehicle crime
,-2.392367,51.39658,ABSO
,-2.392632,51.395662,ABSO
,-2.392587,51.3972,Public order
,-2.392587,51.3972,Public order
,-2.392367,51.39658,Shoplifting
,-2.392632,51.395662,Sex Offence
,-2.392587,51.3972,Sex Offence
,-2.353403,51.3971,ABSO
,-2.35176,51.396412,ABSO
,-2.353403,51.3971,Other theft
,-2.352617,51.392067,Other theft
,-2.356134,51.395239,Sex Offence
,-2.353403,51.3971,Sex Offence
,-2.352617,51.392067,Sex Offence
,-2.355418,51.39186,ABSO
,-2.357337,51.390919,ABSO
,-2.356228,51.392451,ABSO
,-2.355418,51.39186,ABSO
,-2.355356,51.393074,ABSO
,-2.355418,51.39186,Other theft
,-2.354045,51.392719,Sex Offence
,-2.349528,51.393991,ABSO
,-2.345086,51.393887,ABSO
,-2.345086,51.393887,ABSO
,-2.351358,51.392835,ABSO
,-2.350423,51.392676,ABSO
,-2.345421,51.394561,Burglary
,-2.347342,51.393818,Burglary
,-2.347342,51.393818,Burglary
,-2.349252,51.39552,Arson
,-2.349871,51.393738,Arson
,-2.349871,51.393738,Arson
,-2.349871,51.393738,Public order
,-2.347342,51.393818,Sex Offence
,-2.356346,51.391003,ABSO
,-2.353632,51.38764,ABSO
,-2.350371,51.391561,ABSO
,-2.350371,51.391561,ABSO
,-2.350371,51.391561,ABSO
,-2.350371,51.391561,ABSO
,-2.350371,51.391561,ABSO
,-2.358262,51.389712,ABSO
,-2.353632,51.38764,ABSO
,-2.353013,51.391229,ABSO
,-2.353632,51.38764,Other theft
,-2.350371,51.391561,Robbery
,-2.353544,51.391138,Sex Offence
,-2.353632,51.38764,Sex Offence
,-2.353632,51.38764,Sex Offence
,-2.353632,51.38764,Sex Offence
,-2.353544,51.391138,Sex Offence
,-2.359137,51.382255,ABSO
,-2.36158,51.384073,ABSO
,-2.357292,51.383348,ABSO
,-2.361689,51.38329,ABSO
,-2.360554,51.383392,ABSO
,-2.357349,51.38324,ABSO
,-2.361034,51.384047,ABSO
,-2.359137,51.382255,ABSO
,-2.359137,51.382255,ABSO
,-2.360522,51.381127,ABSO
,-2.361032,51.381979,ABSO
,-2.359112,51.386355,ABSO
,-2.357349,51.38324,ABSO
,-2.358782,51.382777,ABSO
,-2.358854,51.380952,ABSO
,-2.361689,51.38329,ABSO
,-2.359112,51.386355,ABSO
,-2.361055,51.379453,ABSO
,-2.359137,51.382255,ABSO
,-2.360554,51.383392,ABSO
,-2.359927,51.380337,ABSO
,-2.36158,51.384073,ABSO
,-2.361034,51.384047,ABSO
,-2.361416,51.381448,ABSO
,-2.36032,51.379185,ABSO
,-2.359175,51.383451,ABSO
,-2.357292,51.383348,ABSO
,-2.359649,51.38335,ABSO
,-2.356732,51.3871,ABSO
,-2.359137,51.382255,ABSO
,-2.361069,51.38491,ABSO
,-2.359137,51.382255,ABSO
,-2.359175,51.383451,ABSO
,-2.36032,51.379185,ABSO
,-2.361416,51.381448,ABSO
,-2.358854,51.380952,ABSO
,-2.361034,51.384047,ABSO
,-2.360713,51.379867,ABSO
,-2.36032,51.379185,ABSO
,-2.358703,51.387399,ABSO
,-2.361069,51.38491,ABSO
,-2.360893,51.382546,ABSO
,-2.359927,51.380337,ABSO
,-2.358638,51.380872,ABSO
,-2.357292,51.383348,ABSO
,-2.356732,51.3871,ABSO
,-2.361034,51.384047,ABSO
,-2.359175,51.383451,ABSO
,-2.357292,51.383348,ABSO
,-2.359927,51.380337,ABSO
,-2.36032,51.379185,ABSO
,-2.360713,51.379867,ABSO
,-2.361032,51.381979,ABSO
,-2.358854,51.380952,ABSO
,-2.357349,51.38324,ABSO
,-2.3623,51.380654,ABSO
,-2.359137,51.382255,ABSO
,-2.36032,51.379185,ABSO
,-2.358782,51.382777,ABSO
,-2.361032,51.381979,ABSO
,-2.360269,51.385443,ABSO
,-2.359175,51.383451,ABSO
,-2.357349,51.38324,ABSO
,-2.360317,51.38431,ABSO
,-2.361416,51.381448,ABSO
,-2.359175,51.383451,ABSO
,-2.359112,51.386355,ABSO
,-2.361364,51.380423,ABSO
,-2.361689,51.38329,ABSO
,-2.36158,51.384073,ABSO
,-2.359112,51.386355,ABSO
